outcome,location,color,Total,type,line.type,x,y
,,,,,,,
bunt, c,blue,bunt c,1,2,0,0.2
,,,,,,,
bunt, p,blue,bunt p,1,2,0,0.2
,,,,,,,
bunt,1b,blue,bunt 1b,1,2,0,0.2
,,,,,,,
bunt,2b,blue,bunt 2b,1,2,0,0.2
,,,,,,,
bunt,3b,blue,bunt 3b,1,2,0,0.2
,,,,,,,
choice, ss,blue,choice  ss,1,2,-0.4,1.6
,,,,,,,
choice,1b,blue,choice 1b,1,2,0.8,1
,,,,,,,
choice,2b,blue,choice 2b,1,2,0.4,1.3
,,,,,,,
choice,3b,blue,choice 3b,1,2,-0.35,1
,,,,,,,
choice,first base,blue,choice first base,1,2,0.35,1
,,,,,,,
choice,second base,blue,choice second base,1,2,0.25,1.3
,,,,,,,
choice,shortstop,blue,choice shortstop,1,2,-0.25,1.3
,,,,,,,
choice,third base,blue,choice third base,1,2,-0.35,1
,,,,,,,
choice, p ,blue,choice  p ,1,2,0,0.6
,,,,,,,
choice, p.,blue,choice  p.,1,2,0,0.6
,,,,,,,
choice," p,",blue,"choice  p,",1,2,0,0.6
,,,,,,,
double,1B,orange,double 1B,19,1,2.33,2.87
,,,,,,,
double,3b,orange,double 3b,19,1,-3.44,4.36
,,,,,,,
double,center,orange,double center,19,1,0,3.6
,,,,,,,
double,cf,orange,double cf,19,1,0,3.7
,,,,,,,
double,left,orange,double left,19,1,-1.4,2.65
,,,,,,,
double,left center,orange,double left center,19,1,-1,3
,,,,,,,
double,left field line,orange,double left field line,19,1,-1.7,2
,,,,,,,
double,lf,orange,double lf,19,1,-1.4,2.65
,,,,,,,
double,lf line,orange,double lf line,19,1,-1.7,2.3
,,,,,,,
double,rf,orange,double rf,19,1,0.7,2.65
,,,,,,,
double,rf line,orange,double rf line,19,1,1.7,2
,,,,,,,
double,right,orange,double right,19,1,1.7,2.65
,,,,,,,
double,right center,orange,double right center,19,1,1.2,3
,,,,,,,
double,right field line,orange,double right field line,19,1,1.7,2
,,,,,,,
error, p ,blue,error  p ,1,2,0,0.6
,,,,,,,
error, p.,blue,"error  p,",1,2,0,0.6
,,,,,,,
error, p.,blue,error  p.,1,2,0,0.6
,,,,,,,
error, ss,blue,error  ss,1,2,-0.4,1.6
,,,,,,,
error,1b,blue,error 1b,1,2,0.8,1.2
,,,,,,,
error,2b,blue,error 2b,1,2,0.4,1.6
,,,,,,,
error,3b,blue,error 3b,1,2,-0.8,1.2
,,,,,,,
error,center,red,error center,1,2,0,3
,,,,,,,
error,cf,red,error cf,1,2,0,3
,,,,,,,
error,first base,blue,error first base,1,2,0.8,1.2
,,,,,,,
error,left,red,error left,1,2,-0.7,2.45
,,,,,,,
error,lf,red,error lf,1,2,-0.7,2.45
,,,,,,,
error,rf,red,error rf,1,2,0.7,2.45
,,,,,,,
error,right,red,error right,1,2,0.7,2.45
,,,,,,,
error,second base,blue,error second base,1,2,0.6,1.6
,,,,,,,
error,shortstop,blue,error shortstop,1,2,-0.6,1.6
,,,,,,,
error,third base,blue,error third base,1,2,-0.8,1.2
,,,,,,,
flied, ss,red,flied  ss,1,2,-0.4,1.6
,,,,,,,
flied,1b,red,flied 1b,1,2,0.8,1.2
,,,,,,,
flied,2b,red,flied 2b,1,2,0.4,1.6
,,,,,,,
flied,3b,red,flied 3b,1,2,-0.8,1.2
,,,,,,,
flied,cf,red,flied cf,1,2,0,3
,,,,,,,
flied,first base,red,flied first base,1,2,0.8,1
,,,,,,,
flied,left center,red,flied left center,1,2,-1,2.8
,,,,,,,
flied,left,red,flied left,1,2,-1.5,2.2
,,,,,,,
flied,lf,red,flied lf,1,2,-1.5,2.2
,,,,,,,
flied,rf,red,flied rf,1,2,1.5,2.2
,,,,,,,
flied,right center,red,flied right center,1,2,1,2.8
,,,,,,,
flied,second base,red,flied second base,1,2,0.6,1.6
,,,,,,,
flied,shortstop,red,flied shortstop,1,2,-0.6,1.6
,,,,,,,
flied,third base,red,flied third base,1,2,-0.8,1
,,,,,,,
force, p ,blue,force  p ,1,2,0,0.6
,,,,,,,
force, p.,blue,force p.,1,2,0,0.6
,,,,,,,
force, ss,blue,force  ss,1,2,-0.4,1.6
,,,,,,,
force,1b,blue,force 1b,1,2,0.8,1.2
,,,,,,,
force,2b,blue,force 2b,1,2,0.4,1.6
,,,,,,,
force,3b,blue,force 3b,1,2,-0.8,1.2
,,,,,,,
foul, ss,red,foul  ss,1,2,-0.4,1.2
,,,,,,,
foul,1b,red,foul 1b,1,2,-0.56,1.12
,,,,,,,
foul,2b,red,foul 2b,1,2,-0.72,1.04
,,,,,,,
