,Code,School
0,2,Abilene Christian
1,30123,Academy of Art
2,929,Adams St.
3,3,Adelphi
4,4,Adrian
5,11324,Agnes Scott
6,5,Akron
7,506337,Akron-Wayne
8,8,Alabama
9,6,Alabama A&M
10,10,Alabama Huntsville
11,7,Alabama St.
12,9,UAB
13,11,Alas. Anchorage
14,12,Alas. Fairbanks
15,14,Albany (NY)
16,500075,Albany Pharmacy
17,13,Albany St. (GA)
18,506450,Alberta (CAN)
19,2798,Albertus Magnus
20,15,Albion
21,16,Albright
22,17,Alcorn
23,934,Alderson Broaddus
24,30170,Alfred St.
25,18,Alfred
26,506430,Algoma (CAN)
27,500112,Alice Lloyd
28,19,Allegheny
29,500120,Allen
30,21,Alma
31,938,Alvernia
32,28746,Alverno
33,506413,American (PR)
34,22,American Int'l
35,23,American
36,24,Amherst
37,506365,Ana G. Méndez (PR)
38,939,Anderson (IN)
39,13028,Anderson (SC)
40,506268,Andrews
41,25,Angelo St.
42,26,Anna Maria
43,506476,Antelope Valley
44,500174,Appalachian Bible
45,27,Appalachian St.
46,506125,Apprentice
47,500180,Aquinas
48,966,Arcadia
49,29,Arizona
50,500187,Arizona Bible
51,504994,Arizona Christian
52,28,Arizona St.
53,30,Arkansas St.
54,947,Arkansas Tech
55,31,Arkansas
56,30105,Ark.-Fort Smith
57,32,Little Rock
58,8411,Ark.-Monticello
59,2678,Ark.-Pine Bluff
60,500232,Arlington Baptist
61,506029,Asbury
62,35,Ashland
63,36,Assumption
64,37,Auburn
65,30093,AUM
66,38,Augsburg
67,39,Augusta
68,40,Augustana (IL)
69,41,Augustana (SD)
70,42,Aurora
71,953,Austin
72,43,Austin Peay
73,506346,Ave Maria
74,44,Averett
75,500322,Avila
76,30146,Azusa Pacific
77,45,Babson
78,506174,Bacone
79,506059,Baker
80,46,Baldwin Wallace
81,47,Ball St.
82,500365,Baptist Bible (MO)
83,500381,Barclay
84,962,Bard
85,49,Barry
86,15646,Barton
87,58,Baruch
88,50,Bates
89,26520,Bay Path
90,51,Baylor
91,26107,Becker
92,30197,Belhaven
93,52,Bellarmine
94,500415,Bellevue
95,2683,Belmont Abbey
96,14927,Belmont
97,53,Beloit
98,54,Bemidji St.
99,55,Benedict
100,506015,Benedictine (KS)
101,506498,Benedictine Mesa
102,296,Benedictine (IL)
103,506374,Benedictine-Sprngfld
104,56,Bentley
105,30171,Berea
106,506167,Berkeley (NJ)
107,506384,Berkeley (NY)
108,973,Berry
109,506014,Bethany (KS)
110,59,Bethany (WV)
111,30038,Bethany Lutheran
112,500485,Bethel (IN)
113,506120,Bethel (KS)
114,500500,Bethel (TN)
115,60,Bethel (MN)
116,506379,Bethesda (CA)
117,61,Bethune-Cookman
118,62,Binghamton
119,30220,Biola
120,28593,Birmingham-So.
121,30134,Black Hills St.
122,64,Blackburn
123,984,Bloomfield
124,65,Bloomsburg
125,500551,Blue Mountain (MS)
126,500552,Bluefield Col.
127,985,Bluefield St.
128,987,Bluffton
129,30232,Bob Jones
130,66,Boise St.
131,67,Boston College
132,68,Boston U.
133,69,Bowdoin
134,70,Bowie St.
135,71,Bowling Green
136,506316,Boyce
137,72,Bradley
138,73,Brandeis
139,506451,Brandon (CAN)
140,506178,Brenau
141,500610,Brescia
142,30094,Brevard
143,500612,Brewton-Parker
144,500615,Briar Cliff (IA)
145,74,Bridgeport
146,75,Bridgewater (VA)
147,76,Bridgewater St.
148,506366,Briercrest (CAN)
149,77,BYU
150,506196,British Colum. (CAN)
151,506452,B.C.-Okanagan (CAN)
152,506438,Brock (CAN)
153,78,Brockport
154,79,Brooklyn
155,80,Brown
156,506542,Bry. & Strat. (Roc.)
157,506538,Bry. & Strat. (Alb.)
158,506496,Bry. & Strat. (Buf.)
159,506539,Bry. & Strat. (Syr.)
160,500660,Bryan
161,81,Bryant
162,30188,Bryn Athyn
163,82,Bryn Mawr
164,83,Bucknell
165,84,Buena Vista
166,85,Buffalo St.
167,86,Buffalo
168,87,Butler
169,88,Cabrini
170,1305,Cairn
171,91,Cal Poly Pomona
172,995,Caldwell
